scenario,scenario_family,scenario_i,magnitude,backend,obefore_order,commit_every,mapsize_mb,repeat_reconcile,slice_begin_ts,slice_end_ts,step_in_slice,n_common_in_slice,n_a_only_in_slice,n_b_only_in_slice,n_common_outside_before,n_common_outside_after,n_a_only_outside_before,n_a_only_outside_after,n_b_only_outside_before,n_b_only_outside_after,fullA,fullB,sliceA,sliceB,expected_have,expected_need,have,need,prep_total_ms,prep_open_ms,prep_populate_ms,prep_commit_ms,prep_seal_ms,prep_expected_ms,prep_serialize_ms,open_ms,build_ms,reconcile_ms,decode_sort_ms,total_bench_ms,msg_count,bytes_a_to_b,bytes_b_to_a,A_apparent_bytes,A_alloc_bytes,A_used_bytes_est,B_apparent_bytes,B_alloc_bytes,B_used_bytes_est,A_depth,A_branch_pages,A_leaf_pages,A_overflow_pages,A_entries,A_last_pgno,A_page_size,B_depth,B_branch_pages,B_leaf_pages,B_overflow_pages,B_entries,B_last_pgno,B_page_size,rss_kb_before,rss_kb_after
baseline_dense_2,baseline_dense,2,8,AELMDBSlice,desc,0,2048,10,10000,10138,1,128,8,8,1000,1000,200,200,200,200,2536,2536,136,136,8,8,8,8,9.873,3.886,5.985,4.128,0.000,0.000,0.000,0.073,0.008,0.169,0.000,0.250,1,306,265,233472,229376,225280,233472,229376,225280,3,3,47,0,2536,54,4096,3,3,47,0,2536,54,4096,4980,7796
baseline_dense_2,baseline_dense,2,8,NoAggWindowSliceAELMDB,desc,0,2048,10,10000,10138,1,128,8,8,1000,1000,200,200,200,200,2536,2536,136,136,8,8,8,8,9.873,3.886,5.985,4.128,0.000,0.000,0.000,0.060,0.003,0.174,0.000,0.238,1,306,265,233472,229376,225280,233472,229376,225280,3,3,47,0,2536,54,4096,3,3,47,0,2536,54,4096,4960,7784
baseline_sparse_2,baseline_sparse,2,8,Vector,desc,0,2048,10,50000,51620,6,256,12,12,2000,2000,400,400,400,400,5068,5068,268,268,12,12,12,12,0.993,0.035,0.232,0.000,0.135,0.127,0.463,0.779,0.001,0.102,0.000,0.881,1,307,522,202728,204800,202728,202728,204800,202728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5016,7796
baseline_sparse_2,baseline_sparse,2,8,BTreeLMDB,desc,0,2048,10,50000,51620,6,256,12,12,2000,2000,400,400,400,400,5068,5068,268,268,12,12,12,12,11.738,3.439,8.292,5.788,0.000,0.000,0.000,0.081,0.063,1.169,0.000,1.313,1,307,522,430080,425984,421888,430080,425984,421888,1,0,1,97,98,102,4096,1,0,1,97,98,102,4096,4984,8428
baseline_sparse_2,baseline_sparse,2,8,AELMDBSlice,desc,0,2048,10,50000,51620,6,256,12,12,2000,2000,400,400,400,400,5068,5068,268,268,12,12,12,12,14.333,4.277,10.052,6.271,0.000,0.000,0.000,0.076,0.009,0.162,0.000,0.247,1,307,522,425984,421888,417792,425984,421888,417792,3,4,93,0,5068,101,4096,3,4,93,0,5068,101,4096,4960,7920
baseline_sparse_2,baseline_sparse,2,8,NoAggWindowSliceAELMDB,desc,0,2048,10,50000,51620,6,256,12,12,2000,2000,400,400,400,400,5068,5068,268,268,12,12,12,12,14.333,4.277,10.052,6.271,0.000,0.000,0.000,0.077,0.007,0.187,0.000,0.271,1,307,522,425984,421888,417792,425984,421888,417792,3,4,93,0,5068,101,4096,3,4,93,0,5068,101,4096,4964,8052
baseline_dense_3,baseline_dense,3,8,Vector,desc,0,2048,10,10000,10206,1,192,12,12,1500,1500,300,300,300,300,3804,3804,204,204,12,12,12,12,0.811,0.043,0.082,0.000,0.120,0.157,0.408,0.498,0.001,0.099,0.000,0.598,1,306,393,152168,155648,152168,152168,155648,152168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4928,7676
baseline_dense_3,baseline_dense,3,8,BTreeLMDB,desc,0,2048,10,10000,10206,1,192,12,12,1500,1500,300,300,300,300,3804,3804,204,204,12,12,12,12,11.002,3.658,7.336,5.386,0.000,0.000,0.000,0.072,0.049,0.911,0.000,1.032,1,306,393,327680,323584,319488,327680,323584,319488,1,0,1,72,73,77,4096,1,0,1,72,73,77,4096,4936,8192
baseline_dense_3,baseline_dense,3,8,AELMDBSlice,desc,0,2048,10,10000,10206,1,192,12,12,1500,1500,300,300,300,300,3804,3804,204,204,12,12,12,12,11.868,3.485,8.379,5.534,0.000,0.000,0.000,0.083,0.010,0.161,0.000,0.254,1,306,393,331776,327680,323584,331776,327680,323584,3,4,70,0,3804,78,4096,3,4,70,0,3804,78,4096,4948,7960
baseline_dense_3,baseline_dense,3,8,NoAggWindowSliceAELMDB,desc,0,2048,10,10000,10206,1,192,12,12,1500,1500,300,300,300,300,3804,3804,204,204,12,12,12,12,11.868,3.485,8.379,5.534,0.000,0.000,0.000,0.065,0.003,0.177,0.000,0.245,1,306,393,331776,327680,323584,331776,327680,323584,3,4,70,0,3804,78,4096,3,4,70,0,3804,78,4096,4988,7996
baseline_sparse_3,baseline_sparse,3,8,Vector,desc,0,2048,10,50000,53636,9,384,18,18,3000,3000,600,600,600,600,7602,7602,402,402,18,18,18,18,1.372,0.040,0.243,0.000,0.266,0.151,0.670,1.037,0.001,0.109,0.000,1.147,1,321,810,304088,307200,304088,304088,307200,304088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4972,8012
baseline_sparse_3,baseline_sparse,3,8,BTreeLMDB,desc,0,2048,10,50000,53636,9,384,18,18,3000,3000,600,600,600,600,7602,7602,402,402,18,18,18,18,15.447,3.773,11.667,7.628,0.000,0.000,0.000,0.082,0.028,0.871,0.000,0.980,1,321,810,638976,634880,630784,638976,634880,630784,2,1,3,145,146,153,4096,2,1,3,145,146,153,4096,4984,8584
baseline_sparse_3,baseline_sparse,3,8,AELMDBSlice,desc,0,2048,10,50000,53636,9,384,18,18,3000,3000,600,600,600,600,7602,7602,402,402,18,18,18,18,17.233,4.583,12.646,7.013,0.000,0.000,0.000,0.081,0.008,0.171,0.000,0.260,1,321,810,622592,618496,614400,622592,618496,614400,3,6,139,0,7602,149,4096,3,6,139,0,7602,149,4096,4956,7876
baseline_sparse_3,baseline_sparse,3,8,NoAggWindowSliceAELMDB,desc,0,2048,10,50000,53636,9,384,18,18,3000,3000,600,600,600,600,7602,7602,402,402,18,18,18,18,17.233,4.583,12.646,7.013,0.000,0.000,0.000,0.075,0.006,0.196,0.000,0.278,1,321,810,622592,618496,614400,622592,618496,614400,3,6,139,0,7602,149,4096,3,6,139,0,7602,149,4096,4952,8036
baseline_dense_4,baseline_dense,4,8,Vector,desc,0,2048,10,10000,10274,1,256,16,16,2000,2000,400,400,400,400,5072,5072,272,272,16,16,16,16,1.060,0.043,0.118,0.000,0.170,0.159,0.568,0.801,0.001,0.102,0.000,0.904,1,306,553,202888,204800,202888,202888,204800,202888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4952,7792
baseline_dense_4,baseline_dense,4,8,BTreeLMDB,desc,0,2048,10,10000,10274,1,256,16,16,2000,2000,400,400,400,400,5072,5072,272,272,16,16,16,16,12.632,3.706,8.918,6.405,0.000,0.000,0.000,0.073,0.064,1.202,0.000,1.340,1,306,553,430080,425984,421888,430080,425984,421888,1,0,1,97,98,102,4096,1,0,1,97,98,102,4096,4996,8412
baseline_dense_4,baseline_dense,4,8,AELMDBSlice,desc,0,2048,10,10000,10274,1,256,16,16,2000,2000,400,400,400,400,5072,5072,272,272,16,16,16,16,14.749,3.788,10.957,7.187,0.000,0.000,0.000,0.113,0.012,0.204,0.000,0.328,1,306,553,425984,421888,417792,425984,421888,417792,3,4,93,0,5072,101,4096,3,4,93,0,5072,101,4096,4948,7896
baseline_dense_4,baseline_dense,4,8,NoAggWindowSliceAELMDB,desc,0,2048,10,10000,10274,1,256,16,16,2000,2000,400,400,400,400,5072,5072,272,272,16,16,16,16,14.749,3.788,10.957,7.187,0.000,0.000,0.000,0.076,0.007,0.191,0.000,0.274,1,306,553,425984,421888,417792,425984,421888,417792,3,4,93,0,5072,101,4096,3,4,93,0,5072,101,4096,4996,8048
baseline_sparse_4,baseline_sparse,4,8,Vector,desc,0,2048,10,50000,56456,12,512,24,24,4000,4000,800,800,800,800,10136,10136,536,536,24,24,24,24,1.973,0.045,0.473,0.000,0.381,0.187,0.883,1.632,0.001,0.133,0.000,1.766,2,1143,1132,405448,405504,405448,405448,405504,405448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,8168
baseline_sparse_4,baseline_sparse,4,8,BTreeLMDB,desc,0,2048,10,50000,56456,12,512,24,24,4000,4000,800,800,800,800,10136,10136,536,536,24,24,24,24,19.946,5.380,14.558,8.902,0.000,0.000,0.000,0.081,0.037,1.087,0.000,1.204,2,1143,1132,831488,827392,823296,831488,827392,823296,2,1,3,192,193,200,4096,2,1,3,192,193,200,4096,4972,8816
baseline_sparse_4,baseline_sparse,4,8,AELMDBSlice,desc,0,2048,10,50000,56456,12,512,24,24,4000,4000,800,800,800,800,10136,10136,536,536,24,24,24,24,26.307,4.713,21.587,8.813,0.000,0.000,0.000,0.072,0.010,0.290,0.000,0.372,2,1143,1132,815104,811008,806912,815104,811008,806912,3,7,185,0,10136,196,4096,3,7,185,0,10136,196,4096,4964,7864
baseline_sparse_4,baseline_sparse,4,8,NoAggWindowSliceAELMDB,desc,0,2048,10,50000,56456,12,512,24,24,4000,4000,800,800,800,800,10136,10136,536,536,24,24,24,24,26.307,4.713,21.587,8.813,0.000,0.000,0.000,0.064,0.004,0.344,0.000,0.412,2,1143,1132,815104,811008,806912,815104,811008,806912,3,7,185,0,10136,196,4096,3,7,185,0,10136,196,4096,4944,7996
baseline_dense_5,baseline_dense,5,8,Vector,desc,0,2048,10,10000,10342,1,320,20,20,2500,2500,500,500,500,500,6340,6340,340,340,20,20,20,20,2.008,0.067,0.216,0.000,0.351,0.270,1.101,0.907,0.001,0.107,0.000,1.015,1,306,681,253608,253952,253608,253608,253952,253608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4940,7876
baseline_dense_5,baseline_dense,5,8,BTreeLMDB,desc,0,2048,10,10000,10342,1,320,20,20,2500,2500,500,500,500,500,6340,6340,340,340,20,20,20,20,16.607,4.218,12.374,7.285,0.000,0.000,0.000,0.078,0.083,1.562,0.000,1.723,1,306,681,532480,528384,524288,532480,528384,524288,2,1,2,120,121,127,4096,2,1,2,120,121,127,4096,4992,8616
baseline_dense_5,baseline_dense,5,8,AELMDBSlice,desc,0,2048,10,10000,10342,1,320,20,20,2500,2500,500,500,500,500,6340,6340,340,340,20,20,20,20,17.041,3.742,13.294,6.302,0.000,0.000,0.000,0.081,0.008,0.171,0.000,0.260,1,306,681,524288,520192,516096,524288,520192,516096,3,5,116,0,6340,125,4096,3,5,116,0,6340,125,4096,4924,7936
baseline_dense_5,baseline_dense,5,8,NoAggWindowSliceAELMDB,desc,0,2048,10,10000,10342,1,320,20,20,2500,2500,500,500,500,500,6340,6340,340,340,20,20,20,20,17.041,3.742,13.294,6.302,0.000,0.000,0.000,0.070,0.003,0.192,0.000,0.265,1,306,681,524288,520192,516096,524288,520192,516096,3,5,116,0,6340,125,4096,3,5,116,0,6340,125,4096,4908,8064
baseline_sparse_5,baseline_sparse,5,8,Vector,desc,0,2048,10,50000,60080,15,640,30,30,5000,5000,1000,1000,1000,1000,12670,12670,670,670,30,30,30,30,4.136,0.078,0.829,0.000,0.774,0.318,2.135,1.874,0.001,0.137,0.000,2.012,2,1403,1392,506808,507904,506808,506808,507904,506808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4924,8364
baseline_sparse_5,baseline_sparse,5,8,BTreeLMDB,desc,0,2048,10,50000,60080,15,640,30,30,5000,5000,1000,1000,1000,1000,12670,12670,670,670,30,30,30,30,22.337,4.129,18.195,10.976,0.000,0.000,0.000,0.136,0.058,1.350,0.000,1.544,2,1403,1392,1024000,1019904,1015808,1024000,1019904,1015808,2,1,3,239,240,247,4096,2,1,3,239,240,247,4096,4968,9084
baseline_sparse_5,baseline_sparse,5,8,AELMDBSlice,desc,0,2048,10,50000,60080,15,640,30,30,5000,5000,1000,1000,1000,1000,12670,12670,670,670,30,30,30,30,29.253,4.609,24.639,10.082,0.000,0.000,0.000,0.070,0.011,0.276,0.000,0.357,2,1403,1392,1011712,1007616,1003520,1011712,1007616,1003520,3,9,231,0,12670,244,4096,3,9,231,0,12670,244,4096,5020,7916
baseline_sparse_5,baseline_sparse,5,8,NoAggWindowSliceAELMDB,desc,0,2048,10,50000,60080,15,640,30,30,5000,5000,1000,1000,1000,1000,12670,12670,670,670,30,30,30,30,29.253,4.609,24.639,10.082,0.000,0.000,0.000,0.079,0.007,0.330,0.000,0.416,2,1403,1392,1011712,1007616,1003520,1011712,1007616,1003520,3,9,231,0,12670,244,4096,3,9,231,0,12670,244,4096,5004,8036
baseline_dense_6,baseline_dense,6,8,Vector,desc,0,2048,10,10000,10410,1,384,24,24,3000,3000,600,600,600,600,7608,7608,408,408,24,24,24,24,1.879,0.055,0.201,0.000,0.357,0.212,1.052,1.025,0.001,0.108,0.000,1.133,1,306,809,304328,307200,304328,304328,307200,304328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968,8012
baseline_dense_6,baseline_dense,6,8,BTreeLMDB,desc,0,2048,10,10000,10410,1,384,24,24,3000,3000,600,600,600,600,7608,7608,408,408,24,24,24,24,18.437,4.045,14.381,8.181,0.000,0.000,0.000,0.081,0.029,0.868,0.000,0.979,1,306,809,638976,634880,630784,638976,634880,630784,2,1,3,145,146,153,4096,2,1,3,145,146,153,4096,4968,8592
baseline_dense_6,baseline_dense,6,8,AELMDBSlice,desc,0,2048,10,10000,10410,1,384,24,24,3000,3000,600,600,600,600,7608,7608,408,408,24,24,24,24,19.940,4.234,15.701,7.137,0.000,0.000,0.000,0.072,0.007,0.173,0.000,0.252,1,306,809,622592,618496,614400,622592,618496,614400,3,6,139,0,7608,149,4096,3,6,139,0,7608,149,4096,5000,7924
baseline_dense_6,baseline_dense,6,8,NoAggWindowSliceAELMDB,desc,0,2048,10,10000,10410,1,384,24,24,3000,3000,600,600,600,600,7608,7608,408,408,24,24,24,24,19.940,4.234,15.701,7.137,0.000,0.000,0.000,0.063,0.003,0.194,0.000,0.260,1,306,809,622592,618496,614400,622592,618496,614400,3,6,139,0,7608,149,4096,3,6,139,0,7608,149,4096,4936,8004
baseline_sparse_6,baseline_sparse,6,8,Vector,desc,0,2048,10,50000,64508,18,768,36,36,6000,6000,1200,1200,1200,1200,15204,15204,804,804,36,36,36,36,4.402,0.068,0.501,0.000,0.942,0.335,2.553,2.082,0.001,0.139,0.000,2.222,2,1527,1516,608168,610304,608168,608168,610304,608168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4916,8560
baseline_sparse_6,baseline_sparse,6,8,BTreeLMDB,desc,0,2048,10,50000,64508,18,768,36,36,6000,6000,1200,1200,1200,1200,15204,15204,804,804,36,36,36,36,33.579,5.833,27.731,11.988,0.000,0.000,0.000,0.083,0.038,2.223,0.001,2.343,2,1527,1516,1228800,1224704,1220608,1228800,1224704,1220608,2,1,4,288,289,297,4096,2,1,4,288,289,297,4096,4980,8840
baseline_sparse_6,baseline_sparse,6,8,AELMDBSlice,desc,0,2048,10,50000,64508,18,768,36,36,6000,6000,1200,1200,1200,1200,15204,15204,804,804,36,36,36,36,35.034,4.579,30.448,10.228,0.000,0.000,0.000,0.072,0.011,0.319,0.000,0.403,2,1527,1516,1208320,1204224,1200128,1208320,1204224,1200128,3,11,277,0,15204,292,4096,3,11,277,0,15204,292,4096,4948,8040
baseline_sparse_6,baseline_sparse,6,8,NoAggWindowSliceAELMDB,desc,0,2048,10,50000,64508,18,768,36,36,6000,6000,1200,1200,1200,1200,15204,15204,804,804,36,36,36,36,35.034,4.579,30.448,10.228,0.000,0.000,0.000,0.068,0.007,0.355,0.001,0.429,2,1527,1516,1208320,1204224,1200128,1208320,1204224,1200128,3,11,277,0,15204,292,4096,3,11,277,0,15204,292,4096,4960,8172
baseline_dense_7,baseline_dense,7,8,Vector,desc,0,2048,10,10000,10478,1,448,28,28,3500,3500,700,700,700,700,8876,8876,476,476,28,28,28,28,2.733,0.069,0.345,0.000,0.507,0.277,1.532,1.484,0.001,0.109,0.000,1.594,1,306,937,355048,356352,355048,355048,356352,355048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4964,8108
baseline_dense_7,baseline_dense,7,8,BTreeLMDB,desc,0,2048,10,10000,10478,1,448,28,28,3500,3500,700,700,700,700,8876,8876,476,476,28,28,28,28,22.877,4.255,18.607,9.246,0.000,0.000,0.000,0.079,0.030,0.774,0.000,0.883,1,306,937,733184,729088,724992,733184,729088,724992,2,1,3,168,169,176,4096,2,1,3,168,169,176,4096,4988,8640
baseline_dense_7,baseline_dense,7,8,AELMDBSlice,desc,0,2048,10,10000,10478,1,448,28,28,3500,3500,700,700,700,700,8876,8876,476,476,28,28,28,28,25.104,4.110,20.988,8.251,0.000,0.000,0.000,0.074,0.009,0.172,0.000,0.255,1,306,937,716800,712704,708608,716800,712704,708608,3,6,162,0,8876,172,4096,3,6,162,0,8876,172,4096,4976,7980
baseline_dense_7,baseline_dense,7,8,NoAggWindowSliceAELMDB,desc,0,2048,10,10000,10478,1,448,28,28,3500,3500,700,700,700,700,8876,8876,476,476,28,28,28,28,25.104,4.110,20.988,8.251,0.000,0.000,0.000,0.064,0.004,0.192,0.000,0.260,1,306,937,716800,712704,708608,716800,712704,708608,3,6,162,0,8876,172,4096,3,6,162,0,8876,172,4096,4952,8048
baseline_sparse_7,baseline_sparse,7,8,Vector,desc,0,2048,10,50000,69740,21,896,42,42,7000,7000,1400,1400,1400,1400,17738,17738,938,938,42,42,42,42,5.231,0.074,0.732,0.000,1.100,0.347,2.975,3.118,0.001,0.146,0.001,3.264,2,1719,1708,709528,712704,709528,709528,712704,709528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5020,8804
baseline_sparse_7,baseline_sparse,7,8,BTreeLMDB,desc,0,2048,10,50000,69740,21,896,42,42,7000,7000,1400,1400,1400,1400,17738,17738,938,938,42,42,42,42,35.303,4.261,31.028,12.771,0.000,0.000,0.000,0.083,0.046,1.187,0.001,1.315,2,1719,1708,1421312,1417216,1413120,1421312,1417216,1413120,2,1,4,335,336,344,4096,2,1,4,335,336,344,4096,5000,9096
baseline_sparse_7,baseline_sparse,7,8,AELMDBSlice,desc,0,2048,10,50000,69740,21,896,42,42,7000,7000,1400,1400,1400,1400,17738,17738,938,938,42,42,42,42,36.438,4.183,32.248,11.403,0.000,0.000,0.000,0.127,0.020,0.410,0.001,0.556,2,1719,1708,1396736,1392640,1388544,1396736,1392640,1388544,3,12,322,0,17738,338,4096,3,12,322,0,17738,338,4096,4996,8028
baseline_sparse_7,baseline_sparse,7,8,NoAggWindowSliceAELMDB,desc,0,2048,10,50000,69740,21,896,42,42,7000,7000,1400,1400,1400,1400,17738,17738,938,938,42,42,42,42,36.438,4.183,32.248,11.403,0.000,0.000,0.000,0.063,0.008,0.342,0.001,0.413,2,1719,1708,1396736,1392640,1388544,1396736,1392640,1388544,3,12,322,0,17738,338,4096,3,12,322,0,17738,338,4096,5016,8160
baseline_dense_8,baseline_dense,8,8,Vector,desc,0,2048,10,10000,10546,1,512,32,32,4000,4000,800,800,800,800,10144,10144,544,544,32,32,32,32,2.493,0.044,0.279,0.000,0.484,0.264,1.420,1.653,0.001,0.142,0.000,1.796,2,1463,1466,405768,409600,405768,405768,409600,405768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4976,8156
baseline_dense_8,baseline_dense,8,8,BTreeLMDB,desc,0,2048,10,10000,10546,1,512,32,32,4000,4000,800,800,800,800,10144,10144,544,544,32,32,32,32,24.062,3.883,20.168,11.368,0.000,0.000,0.000,0.087,0.057,1.115,0.000,1.259,2,1463,1466,831488,827392,823296,831488,827392,823296,2,1,3,192,193,200,4096,2,1,3,192,193,200,4096,4976,8824
baseline_dense_8,baseline_dense,8,8,AELMDBSlice,desc,0,2048,10,10000,10546,1,512,32,32,4000,4000,800,800,800,800,10144,10144,544,544,32,32,32,32,26.940,4.212,22.722,9.006,0.000,0.000,0.000,0.074,0.013,0.306,0.000,0.393,2,1463,1466,815104,811008,806912,815104,811008,806912,3,7,185,0,10144,196,4096,3,7,185,0,10144,196,4096,4964,7912
baseline_dense_8,baseline_dense,8,8,NoAggWindowSliceAELMDB,desc,0,2048,10,10000,10546,1,512,32,32,4000,4000,800,800,800,800,10144,10144,544,544,32,32,32,32,26.940,4.212,22.722,9.006,0.000,0.000,0.000,0.077,0.007,0.359,0.000,0.443,2,1463,1466,815104,811008,806912,815104,811008,806912,3,7,185,0,10144,196,4096,3,7,185,0,10144,196,4096,5016,8044
baseline_sparse_8,baseline_sparse,8,8,Vector,desc,0,2048,10,50000,75776,24,1024,48,48,8000,8000,1600,1600,1600,1600,20272,20272,1072,1072,48,48,48,48,5.898,0.067,0.775,0.000,1.302,0.351,3.400,3.357,0.001,0.146,0.001,3.504,2,1911,1900,810888,811008,810888,810888,811008,810888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4956,8992
baseline_sparse_8,baseline_sparse,8,8,BTreeLMDB,desc,0,2048,10,50000,75776,24,1024,48,48,8000,8000,1600,1600,1600,1600,20272,20272,1072,1072,48,48,48,48,38.644,4.150,34.480,14.507,0.000,0.000,0.000,0.086,0.052,1.773,0.001,1.911,2,1911,1900,1622016,1617920,1613824,1622016,1617920,1613824,2,1,5,383,384,393,4096,2,1,5,383,384,393,4096,4964,9368
baseline_sparse_8,baseline_sparse,8,8,AELMDBSlice,desc,0,2048,10,50000,75776,24,1024,48,48,8000,8000,1600,1600,1600,1600,20272,20272,1072,1072,48,48,48,48,39.387,4.062,35.319,12.080,0.000,0.000,0.000,0.074,0.014,0.305,0.001,0.393,2,1911,1900,1597440,1593344,1589248,1597440,1593344,1589248,3,14,369,0,20272,387,4096,3,14,369,0,20272,387,4096,4940,8024
baseline_sparse_8,baseline_sparse,8,8,NoAggWindowSliceAELMDB,desc,0,2048,10,50000,75776,24,1024,48,48,8000,8000,1600,1600,1600,1600,20272,20272,1072,1072,48,48,48,48,39.387,4.062,35.319,12.080,0.000,0.000,0.000,0.062,0.008,0.357,0.001,0.427,2,1911,1900,1597440,1593344,1589248,1597440,1593344,1589248,3,14,369,0,20272,387,4096,3,14,369,0,20272,387,4096,4928,8116
scale_dense_1,scale_dense,1,8,Vector,desc,0,2048,10,210000,210266,1,256,8,8,2000,2000,400,400,400,400,5064,5064,264,264,8,8,8,8,1.346,0.049,0.154,0.000,0.214,0.203,0.723,0.813,0.001,0.103,0.000,0.916,1,307,522,202568,204800,202568,202568,204800,202568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4928,7768
